depth(m),cone penetration resistance (qc (MPa)),sleeve friction(kPa),total cone resistance (tc(Mpa)),friction ratio (%),bulk density (kN/m³),effective vertical stress(kPa),pore water pressure (kPa),total vertical stress (kPa),normalised cone resistance(-),normalised cone resistance corrected for overburden (-),normalised friction ratio (%),void ratio,Soil Class
0.65,1.7,44.8,1.69,2.64,19,12.35,0,12.35,136.24,33.21,2.66,0.83,Class 3: Silty sand to sandy silt
0.65,0.52,36.4,0.52,7.51,19,12.35,6.38,5.97,84.82,60.75,7.7,0.88,Class 4: Clayey silt to silty clay
0.65,0.1,5.1,0.1,5.27,19,12.35,6.38,5.97,14.14,1.67,6.04,1,Class 6: Organic soil / peat
0.66,2.25,79,2.83,2.9,19,12.54,6.47,6.07,463.69,173.24,2.92,0.65,Class 3: Silty sand to sandy silt
0.66,1.9,73,2.42,2.96,19,12.54,6.47,6.07,397.74,154.54,2.97,0.66,Class 3: Silty sand to sandy silt
0.66,1.7,46,1.69,2.72,19,12.54,0,12.54,134.01,33.17,2.74,0.83,Class 3: Silty sand to sandy silt
0.66,0.48,37.6,0.49,7.48,19,12.54,6.47,6.07,78.19,57.09,7.68,0.89,Class 4: Clayey silt to silty clay
0.66,0.05,4.9,0.05,9.42,19,12.54,6.47,6.07,6.51,0.78,12.42,1,Class 6: Organic soil / peat
0.67,1.73,47.2,1.72,2.74,19,12.73,0,12.73,134.35,33.76,2.76,0.83,Class 3: Silty sand to sandy silt
0.67,0.46,35.3,0.46,7.73,19,12.73,6.57,6.16,72.14,54.23,7.95,0.9,Class 4: Clayey silt to silty clay
0.67,0.05,4.9,0.05,10.89,19,12.73,6.57,6.16,5.24,0.64,15.18,1,Class 6: Organic soil / peat
0.68,2.25,89,2.79,3.06,19,12.92,6.67,6.25,444.39,171.5,3.07,0.66,Class 3: Silty sand to sandy silt
0.68,1.95,76,2.47,3.09,19,12.92,6.67,6.25,393.72,156.42,3.1,0.67,Class 3: Silty sand to sandy silt
0.68,1.76,49.5,1.75,2.82,19,12.92,0,12.92,134.67,34.34,2.84,0.83,Class 3: Silty sand to sandy silt
0.68,0.43,33.1,0.43,7.89,19,12.92,6.67,6.25,66.45,51.26,8.13,0.91,Class 4: Clayey silt to silty clay
0.68,0.04,4.8,0.04,10.71,19,12.92,6.67,6.25,5.1,0.63,15.06,1,Class 6: Organic soil / peat
0.69,1.7,51.9,1.7,3.06,19,13.11,0,13.11,128.56,33.27,3.08,0.84,Class 3: Silty sand to sandy silt
0.69,0.4,32.9,0.41,8,19,13.11,6.77,6.34,62.44,48.74,8.27,0.91,Class 4: Clayey silt to silty clay
0.69,0.06,4.7,0.06,8.45,19,13.11,6.77,6.34,6.7,0.84,11.06,1,Class 6: Organic soil / peat
